,date,call_arrive_time,agent_id,serve_time,score_call,type_call,score_agent,type_agent
367,11/1/2022,12:49:12,47,30,0.1231176,2,49.28571429,1
368,11/1/2022,12:50:14,42,1296,0.1263271,1,47.85714286,1
369,11/1/2022,12:50:38,26,219,0.0518061,3,32.14285714,2
370,11/1/2022,12:50:53,24,481,0.0302127,3,14.28571429,4
371,11/1/2022,12:51:23,35,444,0.1232701,2,30.71428571,2
372,11/1/2022,12:52:54,18,501,0.0610728,2,32.85714286,2
373,11/1/2022,12:54:01,15,81,0.0348075,3,31.42857143,2
374,11/1/2022,12:54:43,15,620,0.1061107,2,31.42857143,2
375,11/1/2022,12:57:09,3,290,0.2581411,1,17.14285714,4
376,11/1/2022,12:57:26,40,292,0.1408653,1,16.66666667,3
377,11/1/2022,12:57:57,0,151,0.0495647,3,10.71428571,4
378,11/1/2022,12:58:24,4,2832,0.2396177,1,40,1
379,11/1/2022,12:58:30,25,571,0.0487696,3,5.714285714,4
380,11/1/2022,12:59:39,47,2156,0.1227737,2,49.28571429,1
381,11/1/2022,13:00:02,36,2557,0.1469929,1,45.71428571,1
382,11/1/2022,13:00:25,45,2600,0.1163729,2,20.37037037,3
383,11/1/2022,13:01:13,37,123,0.0405704,3,2.142857143,4
384,11/1/2022,13:01:44,35,407,0.0998049,2,30.71428571,2
385,11/1/2022,13:02:42,41,129,0.0344466,3,38.88888889,1
386,11/1/2022,13:02:44,7,1423,0.1491706,1,22.85714286,3
387,11/1/2022,13:03:40,11,38,0.0864711,2,25.71428571,3
388,11/1/2022,13:03:46,39,323,0.0471612,3,20.71428571,3
389,11/1/2022,13:04:27,29,634,0.0460208,3,5,4
390,11/1/2022,13:05:21,38,109,0.0695937,2,3.703703704,4
391,11/1/2022,13:05:41,6,97,0.0346944,3,17.85714286,3
392,11/1/2022,13:05:51,33,1056,0.1746325,1,47.14285714,1
393,11/1/2022,13:06:24,30,709,0.1668976,1,16.42857143,4
394,11/1/2022,13:07:08,44,797,0.1753315,1,34.28571429,2
395,11/1/2022,13:08:01,16,1621,0.186377,1,33.57142857,2
396,11/1/2022,13:09:10,26,692,0.0372541,3,32.14285714,2
397,11/1/2022,13:10:26,18,1042,0.0717324,2,32.85714286,2
398,11/1/2022,13:10:29,46,845,0.0757159,2,17.39130435,4
399,11/1/2022,13:10:30,8,919,0.0757935,2,46.42857143,1
400,11/1/2022,13:11:42,24,1222,0.0487696,3,14.28571429,4
401,11/1/2022,13:13:03,3,2996,0.0668597,2,17.14285714,4
402,11/1/2022,13:13:20,35,2110,0.0563793,2,30.71428571,2
403,11/1/2022,13:13:31,40,516,0.3140274,1,16.66666667,3
404,11/1/2022,13:13:55,31,548,0.107376,2,45,1
405,11/1/2022,13:14:22,13,85,0.0487696,3,15.71428571,4
406,11/1/2022,13:14:44,1,867,0.1409048,1,25,3
407,11/1/2022,13:14:55,42,1015,0.1926016,1,47.85714286,1
408,11/1/2022,13:15:08,43,254,0.0979718,2,50,1
409,11/1/2022,13:15:14,37,126,0.100701,2,2.142857143,4
410,11/1/2022,13:15:28,41,303,0.0859612,2,38.88888889,1
411,11/1/2022,13:15:28,49,42,0.0859612,2,25,3
412,11/1/2022,13:15:47,11,643,0.1139775,2,25.71428571,3
413,11/1/2022,13:18:13,6,107,0.1084605,2,17.85714286,3
414,11/1/2022,13:18:30,25,1274,0.2512795,1,5.714285714,4
415,11/1/2022,13:19:10,39,502,0.0347724,3,20.71428571,3
416,11/1/2022,13:20:48,38,102,0.0750757,2,3.703703704,4
417,11/1/2022,13:20:58,14,648,0.1648278,1,42.85714286,1
418,11/1/2022,13:21:10,22,904,0.1186344,2,18.57142857,3
419,11/1/2022,13:23:13,33,2179,0.2210443,1,47.14285714,1
420,11/1/2022,13:23:49,31,590,0.0517448,3,45,1
421,11/1/2022,13:25:20,50,202,0.0487696,3,12.14285714,4
422,11/1/2022,13:25:57,32,684,0.0491256,3,2.857142857,4
423,11/1/2022,13:26:08,7,1348,0.0955246,2,22.85714286,3
424,11/1/2022,13:26:54,29,986,0.231187,1,5,4
425,11/1/2022,13:27:32,34,704,0.0359556,3,4.285714286,4
426,11/1/2022,13:28:12,30,1183,0.0358541,3,16.42857143,4
427,11/1/2022,13:28:24,37,139,0.0305484,3,2.142857143,4
428,11/1/2022,13:29:32,21,97,0.0727814,2,9.285714286,4
429,11/1/2022,13:29:34,43,1988,0.0462781,3,50,1
430,11/1/2022,13:30:11,26,1189,0.0420045,3,32.14285714,2
431,11/1/2022,13:31:48,2,418,0.0487696,3,29.28571429,2
432,11/1/2022,13:31:51,11,20,0.0851431,2,25.71428571,3
433,11/1/2022,13:32:06,14,614,0.1558634,1,42.85714286,1
434,11/1/2022,13:32:59,18,851,0.1423539,1,32.85714286,2
435,11/1/2022,13:33:07,30,543,0.050788,3,16.42857143,4
436,11/1/2022,13:33:41,11,56,0.1263271,1,25.71428571,3
437,11/1/2022,13:34:16,46,915,0.0417624,3,17.39130435,4
438,11/1/2022,13:35:04,13,249,0.0362784,3,15.71428571,4
439,11/1/2022,13:35:46,51,370,0.0311988,3,12.85714286,4
440,11/1/2022,13:35:50,47,203,0.0359556,3,49.28571429,1
441,11/1/2022,13:36:20,1,1439,0.0398789,3,25,3
442,11/1/2022,13:36:40,50,323,0.0365357,3,12.14285714,4
443,11/1/2022,13:36:43,52,297,0.1862385,1,39.13043478,2
444,11/1/2022,13:37:18,5,69,0.1761427,1,30.43478261,3
445,11/1/2022,13:38:42,37,156,0.1490959,1,2.142857143,4
446,11/1/2022,13:39:19,24,595,0.0632977,2,14.28571429,4
447,11/1/2022,13:40:03,0,154,0.1262354,1,10.71428571,4
448,11/1/2022,13:40:43,31,131,0.1579623,1,45,1
449,11/1/2022,13:41:07,15,528,0.0923875,2,31.42857143,2
450,11/1/2022,13:41:38,42,1142,0.0370757,3,47.85714286,1
451,11/1/2022,13:41:40,9,727,0.2332054,1,30,2
452,11/1/2022,13:41:57,11,421,0.132492,1,25.71428571,3
453,11/1/2022,13:42:00,38,68,0.209875,1,3.703703704,4
454,11/1/2022,13:42:00,44,339,0.0331586,3,34.28571429,2
455,11/1/2022,13:42:22,32,363,0.0470449,3,2.857142857,4
456,11/1/2022,13:43:06,40,37,0.062776,2,16.66666667,3
457,11/1/2022,13:44:25,31,86,0.0411611,3,45,1
458,11/1/2022,13:44:43,5,302,0.1061107,2,30.43478261,3
459,11/1/2022,13:45:18,10,4076,0.1653681,1,24.28571429,3
460,11/1/2022,13:45:29,49,290,0.0554947,3,25,3
461,11/1/2022,13:45:32,47,1033,0.0460665,3,49.28571429,1
462,11/1/2022,13:46:15,2,374,0.1735949,1,29.28571429,2
463,11/1/2022,13:46:19,48,1745,0.0583442,3,4.545454546,4
464,11/1/2022,13:48:03,36,377,0.1969087,1,45.71428571,1
465,11/1/2022,13:48:34,8,1628,0.1425981,1,46.42857143,1
466,11/1/2022,13:48:50,13,228,0.0487696,3,15.71428571,4
467,11/1/2022,13:49:19,14,1251,0.0543093,3,42.85714286,1
468,11/1/2022,13:49:23,31,161,0.1036493,2,45,1
469,11/1/2022,13:50:02,34,1506,0.1166632,2,4.285714286,4
470,11/1/2022,13:50:09,7,1496,0.1085612,2,22.85714286,3
471,11/1/2022,13:52:19,37,208,0.0313006,3,2.142857143,4
472,11/1/2022,13:53:08,50,372,0.064721,2,12.14285714,4
473,11/1/2022,13:53:08,31,433,0.102118,2,45,1
474,11/1/2022,13:53:21,52,1018,0.1507954,1,39.13043478,2
475,11/1/2022,13:54:08,51,239,0.0499632,3,12.85714286,4
476,11/1/2022,13:54:51,0,2404,0.1260808,1,10.71428571,4
477,11/1/2022,13:55:00,16,841,0.1646745,1,33.57142857,2
478,11/1/2022,13:55:41,53,2448,0.1495484,1,47.82608696,1
479,11/1/2022,13:56:48,54,83,0.0717426,2,15.2173913,4
480,11/1/2022,13:57:26,38,241,0.0609655,2,3.703703704,4
481,11/1/2022,13:59:28,18,516,0.1753089,1,32.85714286,2
482,11/1/2022,13:59:37,55,258,0.1847274,1,0,4
483,11/1/2022,13:59:56,11,39,0.1507954,1,25.71428571,3
484,11/1/2022,14:00:11,2,503,0.0454323,3,29.28571429,2
485,11/1/2022,14:00:14,5,820,0.186377,1,30.43478261,3
486,11/1/2022,14:00:14,32,962,0.0556772,3,2.857142857,4
487,11/1/2022,14:00:48,54,97,0.0778833,2,15.2173913,4
488,11/1/2022,14:01:36,40,52,0.0717581,2,16.66666667,3
489,11/1/2022,14:01:41,29,320,0.0794032,2,5,4
490,11/1/2022,14:02:00,31,2325,0.1576929,1,45,1
491,11/1/2022,14:03:02,56,1018,0.2374126,1,45.65217391,1
492,11/1/2022,14:03:24,37,491,0.0939113,2,2.142857143,4
493,11/1/2022,14:03:39,36,229,0.0487696,3,45.71428571,1
494,11/1/2022,14:06:12,6,1130,0.039013,3,17.85714286,3
495,11/1/2022,14:06:31,39,605,0.186377,1,20.71428571,3
496,11/1/2022,14:06:47,50,123,0.205842,1,12.14285714,4
497,11/1/2022,14:08:16,1,683,0.0365357,3,25,3
498,11/1/2022,14:08:40,11,27,0.1263271,1,25.71428571,3
499,11/1/2022,14:08:40,45,249,0.0829227,2,20.37037037,3
500,11/1/2022,14:09:01,36,307,0.105311,2,45.71428571,1
501,11/1/2022,14:09:23,16,559,0.112183,2,33.57142857,2
502,11/1/2022,14:09:28,14,583,0.1475889,1,42.85714286,1
503,11/1/2022,14:09:28,19,99,0.1180689,2,35.18518519,1
504,11/1/2022,14:11:17,55,1655,0.186377,1,0,4
505,11/1/2022,14:11:58,33,873,0.0866292,2,47.14285714,1
506,11/1/2022,14:12:10,29,528,0.0442896,3,5,4
507,11/1/2022,14:13:31,30,352,0.0433193,3,16.42857143,4
508,11/1/2022,14:13:37,54,546,0.0387561,3,15.2173913,4
509,11/1/2022,14:14:48,36,1261,0.1849073,1,45.71428571,1
510,11/1/2022,14:16:29,2,157,0.1994888,1,29.28571429,2
511,11/1/2022,14:16:44,57,178,0.0450144,3,40.74074074,1
512,11/1/2022,14:17:06,42,196,0.1043384,2,47.85714286,1
513,11/1/2022,14:18:56,11,396,0.1397059,1,25.71428571,3
514,11/1/2022,14:19:22,42,1244,0.0473463,3,47.85714286,1
515,11/1/2022,14:20:09,50,961,0.0805018,2,12.14285714,4
516,11/1/2022,14:20:34,8,1787,0.2441689,1,46.42857143,1
517,11/1/2022,14:20:39,16,530,0.0983121,2,33.57142857,2
518,11/1/2022,14:20:55,35,247,0.0907088,2,30.71428571,2
519,11/1/2022,14:21:25,52,1264,0.2218876,1,39.13043478,2
520,11/1/2022,14:21:42,25,54,0.0907261,2,5.714285714,4
521,11/1/2022,14:21:44,37,215,0.0399843,3,2.142857143,4
522,11/1/2022,14:21:52,46,1555,0.1624386,1,17.39130435,4
523,11/1/2022,14:21:56,28,152,0.1045646,2,14.81481481,3
524,11/1/2022,14:22:22,5,627,0.133539,1,30.43478261,3
525,11/1/2022,14:23:07,58,57,0.1252006,1,42.59259259,1
526,11/1/2022,14:25:31,34,1024,0.0779734,2,4.285714286,4
527,11/1/2022,14:25:54,41,238,0.0406371,3,38.88888889,1
528,11/1/2022,14:26:25,35,321,0.0487696,3,30.71428571,2
529,11/1/2022,14:26:47,40,75,0.1218926,1,16.66666667,3
530,11/1/2022,14:27:14,33,17,0.0506981,3,47.14285714,1
531,11/1/2022,14:27:40,7,1231,0.2676314,1,22.85714286,3
532,11/1/2022,14:27:49,19,289,0.0806305,2,35.18518519,1
533,11/1/2022,14:28:15,33,454,0.0487696,3,47.14285714,1
534,11/1/2022,14:28:45,39,260,0.0804249,2,20.71428571,3
535,11/1/2022,14:28:49,32,472,0.0447133,3,2.857142857,4
536,11/1/2022,14:29:34,21,1797,0.0487696,3,9.285714286,4
537,11/1/2022,14:29:57,22,862,0.0702149,2,18.57142857,3
538,11/1/2022,14:30:30,16,754,0.1751191,1,33.57142857,2
539,11/1/2022,14:30:33,1,1970,0.1864132,1,25,3
540,11/1/2022,14:30:55,4,1162,0.1753089,1,40,1
541,11/1/2022,14:31:39,20,1205,0.1252006,1,18.51851852,3
542,11/1/2022,14:33:00,35,11,0.0452417,3,30.71428571,2
543,11/1/2022,14:33:01,14,1282,0.150066,1,42.85714286,1
544,11/1/2022,14:33:15,51,190,0.0572997,2,12.85714286,4
545,11/1/2022,14:33:23,43,1035,0.0487696,3,50,1
546,11/1/2022,14:33:47,25,18,0.0506981,3,5.714285714,4
547,11/1/2022,14:34:23,45,150,0.0992582,2,20.37037037,3
548,11/1/2022,14:34:44,9,932,0.186377,1,30,2
549,11/1/2022,14:34:50,6,100,0.0347062,3,17.85714286,3
550,11/1/2022,14:35:00,11,473,0.0402179,3,25.71428571,3
551,11/1/2022,14:35:03,31,92,0.1140546,2,45,1
552,11/1/2022,14:35:50,36,760,0.1556925,1,45.71428571,1
553,11/1/2022,14:35:58,35,150,0.0506981,3,30.71428571,2
554,11/1/2022,14:36:07,54,38,0.186377,1,15.2173913,4
555,11/1/2022,14:36:21,33,704,0.0487696,3,47.14285714,1
556,11/1/2022,14:36:33,53,1178,0.186377,1,47.82608696,1
557,11/1/2022,14:38:12,2,23,0.0506981,3,29.28571429,2
558,11/1/2022,14:39:53,57,110,0.2102622,1,40.74074074,1
559,11/1/2022,14:39:57,26,1194,0.1839533,1,32.14285714,2
560,11/1/2022,14:41:12,35,559,0.0397998,3,30.71428571,2
561,11/1/2022,14:42:18,13,479,0.051043,3,15.71428571,4
562,11/1/2022,14:42:56,25,26,0.0506981,3,5.714285714,4
563,11/1/2022,14:43:48,6,830,0.101017,2,17.85714286,3
564,11/1/2022,14:43:55,3,267,0.0474477,3,17.14285714,4
565,11/1/2022,14:44:03,16,665,0.0788427,2,33.57142857,2
566,11/1/2022,14:44:32,44,111,0.186377,1,34.28571429,2
567,11/1/2022,14:45:22,54,26,0.0506981,3,15.2173913,4
568,11/1/2022,14:45:46,18,555,0.0257694,3,32.85714286,2
569,11/1/2022,14:45:59,3,1501,0.0352217,3,17.14285714,4
570,11/1/2022,14:46:00,59,62,0.1996085,1,24.07407407,3
571,11/1/2022,14:46:08,49,1129,0.0629525,3,25,3
572,11/1/2022,14:46:20,52,92,0.1231176,2,39.13043478,2
573,11/1/2022,14:46:43,51,308,0.1476726,1,12.85714286,4
574,11/1/2022,14:46:44,2,571,0.186377,1,29.28571429,2
575,11/1/2022,14:47:09,28,1564,0.1189597,2,14.81481481,3
576,11/1/2022,14:47:32,7,222,0.0565349,2,22.85714286,3
577,11/1/2022,14:47:41,11,29,0.0506981,3,25.71428571,3
578,11/1/2022,14:48:05,36,1584,0.1681217,1,45.71428571,1
579,11/1/2022,14:48:41,11,34,0.0506981,3,25.71428571,3
580,11/1/2022,14:49:43,41,99,0.0443921,3,38.88888889,1
581,11/1/2022,14:49:45,27,232,0.1252006,1,22.22222222,3
582,11/1/2022,14:50:42,25,364,0.0487696,3,5.714285714,4
583,11/1/2022,14:51:11,45,563,0.0888397,2,20.37037037,3
584,11/1/2022,14:51:12,56,3058,0.2130597,1,45.65217391,1
585,11/1/2022,14:51:24,35,1467,0.0884496,2,30.71428571,2
586,11/1/2022,14:51:28,19,82,0.0908796,2,35.18518519,1
587,11/1/2022,14:51:47,54,644,0.0374716,3,15.2173913,4
588,11/1/2022,14:52:00,44,504,0.0785032,2,34.28571429,2
589,11/1/2022,14:52:16,0,1523,0.049978,3,10.71428571,4
590,11/1/2022,14:53:18,41,75,0.1912014,1,38.88888889,1
591,11/1/2022,14:54:22,58,118,0.045953,3,42.59259259,1
592,11/1/2022,14:54:27,5,992,0.1066482,2,30.43478261,3
593,11/1/2022,14:54:50,46,739,0.0378734,3,17.39130435,4
594,11/1/2022,14:55:17,9,645,0.1875387,1,30,2
595,11/1/2022,14:55:31,16,1408,0.112183,2,33.57142857,2
596,11/1/2022,14:55:55,53,2365,0.0906231,2,47.82608696,1
597,11/1/2022,14:56:16,59,1953,0.1951834,1,24.07407407,3
598,11/1/2022,14:56:41,24,481,0.0987551,2,14.28571429,4
599,11/1/2022,14:56:50,43,1693,0.0318605,3,50,1
600,11/1/2022,14:56:57,20,127,0.0515898,3,18.51851852,3
601,11/1/2022,14:57:18,51,180,0.0385307,3,12.85714286,4
602,11/1/2022,14:57:25,11,8,0.064006,2,25.71428571,3
