,date,call_arrive_time,agent_id,serve_time,type_call,type_agent,,,score_call,score_agent
127,11/1/2022,08:57:19,4,512,3,3,,,0.049301,25
128,11/1/2022,08:57:27,45,929,1,2,,,0.2126774,30
129,11/1/2022,08:58:14,14,238,?,2,,,?,27.27272727
130,11/1/2022,08:58:18,22,59,2,3,,,0.06417,30.43478261
131,11/1/2022,08:58:18,24,342,?,3,,,?,18.75
132,11/1/2022,08:58:19,35,87,?,1,,,?,50
133,11/1/2022,08:58:47,3,251,?,3,,,?,19.28571429
134,11/1/2022,08:59:01,46,764,?,1,,,?,39.28571429
135,11/1/2022,08:59:01,47,88,?,3,,,?,5.405405405
136,11/1/2022,09:00:19,48,354,?,1,,,?,46.2962963
137,11/1/2022,09:00:23,29,851,1,3,,,0.186377,17.85714286
138,11/1/2022,09:00:38,15,466,3,4,,,0.0487696,17.14285714
139,11/1/2022,09:01:07,36,68,?,1,,,?,46.66666667
140,11/1/2022,09:01:16,23,263,?,1,,,?,40.54054054
141,11/1/2022,09:01:21,49,184,?,2,,,?,20
142,11/1/2022,09:01:47,33,433,?,4,,,?,2.272727273
143,11/1/2022,09:02:23,25,237,?,1,,,?,47.72727273
144,11/1/2022,09:02:47,19,852,1,1,,,0.1665504,40
145,11/1/2022,09:02:54,30,3186,?,1,,,?,36.42857143
146,11/1/2022,09:03:20,11,689,?,2,,,?,28.57142857
147,11/1/2022,09:03:27,41,1583,?,2,,,?,28.37837838
148,11/1/2022,09:03:30,2,90,?,2,,,?,29.72972973
149,11/1/2022,09:04:11,5,92,?,1,,,?,43.24324324
150,11/1/2022,09:04:41,50,1366,?,2,,,?,26.66666667
151,11/1/2022,09:04:49,51,61,?,1,,,?,42.14285714
152,11/1/2022,09:04:50,24,71,?,3,,,?,18.75
153,11/1/2022,09:05:06,52,1242,?,3,,,?,12.16216216
154,11/1/2022,09:06:13,17,372,?,2,,,?,31.25
155,11/1/2022,09:06:18,6,759,?,2,,,?,30
156,11/1/2022,09:06:23,53,179,?,2,,,?,37.83783784
157,11/1/2022,09:06:30,24,585,?,3,,,?,18.75
158,11/1/2022,09:06:31,22,226,2,3,,,0.066621,30.43478261
159,11/1/2022,09:06:34,54,3254,2,3,,,0.1157431,24.28571429
160,11/1/2022,09:06:42,38,56,?,3,,,?,13.51351351
161,11/1/2022,09:06:57,53,191,?,2,,,?,37.83783784
162,11/1/2022,09:07:10,10,473,1,2,,,0.1473281,29.28571429
163,11/1/2022,09:07:28,37,79,?,2,,,?,35.13513514
164,11/1/2022,09:07:31,49,1083,?,2,,,?,20
165,11/1/2022,09:07:38,21,289,?,2,,,?,15
166,11/1/2022,09:07:46,25,3241,?,1,,,?,47.72727273
167,11/1/2022,09:07:55,55,783,?,2,,,?,36.48648649
168,11/1/2022,09:08:02,56,175,?,4,,,?,1.351351351
169,11/1/2022,09:08:10,57,594,3,3,,,0.0422342,25.71428571
170,11/1/2022,09:08:38,58,304,?,4,,,?,0
171,11/1/2022,09:08:44,23,162,?,1,,,?,40.54054054
172,11/1/2022,09:09:00,59,192,?,2,,,?,25
173,11/1/2022,09:09:13,51,282,?,1,,,?,42.14285714
174,11/1/2022,09:09:27,3,24,?,3,,,?,19.28571429
175,11/1/2022,09:09:42,32,2891,?,1,,,?,44.28571429
176,11/1/2022,09:09:42,1,999,1,4,,,0.1891122,10.71428571
177,11/1/2022,09:09:51,2,49,?,2,,,?,29.72972973
178,11/1/2022,09:09:53,18,1039,?,3,,,?,23.57142857
179,11/1/2022,09:09:59,34,677,1,1,,,0.1507954,46.42857143
180,11/1/2022,09:10:41,37,282,?,2,,,?,35.13513514
181,11/1/2022,09:10:53,40,642,?,2,,,?,31.81818182
182,11/1/2022,09:11:58,44,128,?,3,,,?,16.66666667
183,11/1/2022,09:12:00,12,395,?,3,,,?,11.36363636
184,11/1/2022,09:12:05,38,189,?,3,,,?,13.51351351
185,11/1/2022,09:12:06,36,570,?,1,,,?,46.66666667
186,11/1/2022,09:12:25,23,183,?,1,,,?,40.54054054
187,11/1/2022,09:12:36,27,237,?,3,,,?,20.45454545
188,11/1/2022,09:12:46,37,777,?,2,,,?,35.13513514
189,11/1/2022,09:12:46,56,1326,?,4,,,?,1.351351351
190,11/1/2022,09:12:54,46,178,?,1,,,?,39.28571429
191,11/1/2022,09:12:59,2,86,?,2,,,?,29.72972973
192,11/1/2022,09:13:02,60,690,2,4,,,0.0600646,1.851851852
193,11/1/2022,09:13:19,43,66,?,3,,,?,22.14285714
194,11/1/2022,09:13:38,21,63,?,2,,,?,15
195,11/1/2022,09:14:23,3,725,?,3,,,?,19.28571429
196,11/1/2022,09:14:36,17,47,?,2,,,?,31.25
197,11/1/2022,09:14:42,2,150,?,2,,,?,29.72972973
198,11/1/2022,09:14:44,45,1001,2,2,,,0.1231176,30
199,11/1/2022,09:14:51,59,1426,?,2,,,?,25
200,11/1/2022,09:14:51,47,113,?,3,,,?,5.405405405
201,11/1/2022,09:14:56,5,98,?,1,,,?,43.24324324
202,11/1/2022,09:15:10,39,1290,?,1,,,?,44.59459459
203,11/1/2022,09:15:24,15,2473,1,4,,,0.1449239,17.14285714
204,11/1/2022,09:15:31,9,448,?,2,,,?,33.33333333
205,11/1/2022,09:15:38,0,219,?,2,,,?,30
206,11/1/2022,09:15:41,61,347,?,3,,,?,6.25
207,11/1/2022,09:15:56,22,272,3,3,,,0.043969,30.43478261
208,11/1/2022,09:16:12,8,46,?,3,,,?,0
209,11/1/2022,09:16:21,62,964,2,4,,,0.1231176,15.71428571
210,11/1/2022,09:16:44,51,1328,?,1,,,?,42.14285714
211,11/1/2022,09:16:47,24,131,?,3,,,?,18.75
212,11/1/2022,09:16:54,10,1241,3,2,,,0.0311544,29.28571429
213,11/1/2022,09:16:55,63,923,?,3,,,?,29.62962963
214,11/1/2022,09:16:59,58,76,?,4,,,?,0
215,11/1/2022,09:17:00,7,1550,?,4,,,?,0
216,11/1/2022,09:17:01,35,2030,?,1,,,?,50
217,11/1/2022,09:17:09,20,2576,?,3,,,?,25
218,11/1/2022,09:17:28,64,214,?,2,,,?,31.48148148
219,11/1/2022,09:17:30,29,180,1,3,,,0.1967359,17.85714286
220,11/1/2022,09:17:34,46,1059,?,1,,,?,39.28571429
221,11/1/2022,09:17:41,23,894,?,1,,,?,40.54054054
222,11/1/2022,09:18:01,65,1718,?,2,,,?,21.62162162
223,11/1/2022,09:18:48,66,1032,3,1,,,0.0487696,42.85714286
224,11/1/2022,09:19:03,67,271,?,1,,,?,45.94594595
225,11/1/2022,09:19:07,6,767,?,2,,,?,30
226,11/1/2022,09:19:07,68,1140,?,1,,,?,44.44444444
227,11/1/2022,09:19:14,69,746,1,2,,,0.1263271,31.42857143
228,11/1/2022,09:19:18,16,53,?,2,,,?,40
229,11/1/2022,09:19:29,70,26,?,2,,,?,27.02702703
230,11/1/2022,09:19:48,71,44,2,2,,,0.1043384,33.57142857
231,11/1/2022,09:19:50,44,1701,?,3,,,?,16.66666667
232,11/1/2022,09:20:05,19,647,3,1,,,0.0487696,40
233,11/1/2022,09:20:40,8,997,?,3,,,?,0
234,11/1/2022,09:20:43,37,193,?,2,,,?,35.13513514
235,11/1/2022,09:20:45,11,231,?,2,,,?,28.57142857
236,11/1/2022,09:20:55,24,661,?,3,,,?,18.75
237,11/1/2022,09:21:25,0,1429,?,2,,,?,30
238,11/1/2022,09:21:31,70,368,?,2,,,?,27.02702703
239,11/1/2022,09:22:10,72,290,2,4,,,0.0768565,5.555555556
240,11/1/2022,09:22:33,17,56,?,2,,,?,31.25
241,11/1/2022,09:22:34,73,405,3,2,,,0.050788,32.85714286
242,11/1/2022,09:23:08,61,983,?,3,,,?,6.25
243,11/1/2022,09:23:13,43,855,?,3,,,?,22.14285714
244,11/1/2022,09:23:59,71,662,2,2,,,0.1126254,33.57142857
245,11/1/2022,09:24:02,53,155,?,2,,,?,37.83783784
246,11/1/2022,09:24:04,58,311,?,4,,,?,0
247,11/1/2022,09:24:15,14,1201,?,2,,,?,27.27272727
248,11/1/2022,09:24:18,74,1835,1,1,,,0.2102622,35.18518519
249,11/1/2022,09:24:34,67,314,?,1,,,?,45.94594595
250,11/1/2022,09:24:37,17,880,?,2,,,?,31.25
251,11/1/2022,09:24:45,37,77,?,2,,,?,35.13513514
252,11/1/2022,09:25:04,16,45,?,2,,,?,40
253,11/1/2022,09:25:10,75,1230,2,3,,,0.0753594,18.51851852
254,11/1/2022,09:25:16,2,1078,?,2,,,?,29.72972973
255,11/1/2022,09:25:26,76,677,3,4,,,0.0353496,9.285714286
256,11/1/2022,09:25:36,57,9,3,3,,,0.0412797,25.71428571
257,11/1/2022,09:25:47,11,486,?,2,,,?,28.57142857
258,11/1/2022,09:26:16,33,867,?,4,,,?,2.272727273
259,11/1/2022,09:26:31,26,561,?,1,,,?,36.36363636
260,11/1/2022,09:26:34,77,80,2,3,,,0.0648203,18.57142857
261,11/1/2022,09:26:41,57,9,3,3,,,0.050788,25.71428571
262,11/1/2022,09:26:43,22,108,2,3,,,0.0781116,30.43478261
263,11/1/2022,09:26:50,48,265,?,1,,,?,46.2962963
264,11/1/2022,09:26:52,49,831,?,2,,,?,20
265,11/1/2022,09:27:28,16,54,?,2,,,?,40
266,11/1/2022,09:27:30,52,69,?,3,,,?,12.16216216
267,11/1/2022,09:27:34,27,40,?,3,,,?,20.45454545
268,11/1/2022,09:27:37,53,2029,?,2,,,?,37.83783784
269,11/1/2022,09:27:43,31,293,1,3,,,0.1740993,22.85714286
270,11/1/2022,09:27:46,29,408,2,3,,,0.0627687,17.85714286
271,11/1/2022,09:28:33,55,162,?,2,,,?,36.48648649
272,11/1/2022,09:28:48,52,1494,?,3,,,?,12.16216216
273,11/1/2022,09:28:50,9,1615,?,2,,,?,33.33333333
274,11/1/2022,09:29:19,28,1230,?,1,,,?,40.71428571
275,11/1/2022,09:29:40,27,10,?,3,,,?,20.45454545
276,11/1/2022,09:29:54,47,89,?,3,,,?,5.405405405
277,11/1/2022,09:29:54,37,126,?,2,,,?,35.13513514
278,11/1/2022,09:30:01,27,79,?,3,,,?,20.45454545
279,11/1/2022,09:30:02,41,623,?,2,,,?,28.37837838
280,11/1/2022,09:30:12,3,658,?,3,,,?,19.28571429
281,11/1/2022,09:30:49,67,1041,?,1,,,?,45.94594595
282,11/1/2022,09:30:53,78,64,?,2,,,?,40.625
283,11/1/2022,09:30:54,64,284,?,2,,,?,31.48148148
284,11/1/2022,09:31:14,79,818,?,2,,,?,39.18918919
285,11/1/2022,09:31:20,80,184,?,2,,,?,34.375
286,11/1/2022,09:32:26,38,619,?,3,,,?,13.51351351
287,11/1/2022,09:33:00,1,323,3,4,,,0.0474775,10.71428571
288,11/1/2022,09:33:32,31,822,2,3,,,0.1210914,22.85714286
